core,section,cut,ave_depth,ave_depth_adj,y_m,x_m,FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
alhic2302,155_2,stick1,126.40712958905,126.4028189330322,0.016,0.015,0.06672008,4.7152,1.6,136.8512909,2.734136611,2.417037976,1.798164114,1.300000343,1.007794593,0.619771639,1.755070856,1.804407739,1.070965391,1.959314942,1.795552401,2.456499321,2.389880246,1.986044188,1.974454713,2.869313141,2.008060109,6.469232474,4.68018895,1.903938473,7.835137751,11.15588949,10.82644644,11.33603645,21.39514949,7.615753894,21.68704917,0.0,0.0,105.7743596
alhic2302,155_2,stick1,126.4074991133,126.4031884572822,0.016,0.015,0.047723947,3.4048,1.61,143.9429631,3.052245037,3.189282282,2.020985574,1.378758987,1.017567149,1.251563094,1.051569729,1.962051572,1.829977791,1.760917181,1.597436655,1.056704347,1.822447018,2.429501473,2.76037054,0.891426705,3.93029321,4.174273133,9.347286484,3.992678817,7.302567566,2.599400271,11.35186981,10.56550309,22.43348756,10.64714351,0.0,0.0,28.52565455,0.0
alhic2302,155_2,stick1,126.40779995295,126.4034892969322,0.016,0.015,0.04277658,3.7036,1.56,157.6434338,3.373430568,2.710965184,1.70479178,1.188625078,1.659218642,0.751861294,1.43389894,1.407197919,1.856023309,1.528004923,1.782189734,2.063107391,3.049835832,4.25933799,3.07962386,2.983576563,2.505631467,5.433228178,3.128506779,4.454455941,14.25751787,11.60014568,4.221593757,11.78746655,16.68536949,0.0,16.9130124,0.0,31.82481668,54.99328322
alhic2302,155_2,stick1,126.4080994893,126.40378883328219,0.016,0.015,0.054557967,4.7788,1.55,106.1954783,2.320581057,2.125552438,1.724715727,1.315694602,0.958574644,0.926360986,1.328669894,0.245183113,1.600751784,1.369192728,1.596959007,1.386509753,1.594164329,0.303596879,1.034829436,1.55953028,2.946838512,1.825698432,9.811716138,5.82091558,9.581754041,9.095180593,6.619944038,4.621025458,6.541144092,27.94039478,0.0,0.0,0.0,86.23578637
alhic2302,155_2,stick1,126.40840332162,126.40409266560219,0.016,0.015,0.03713112,3.1736,1.55,316.3701111,4.619600995,2.586353278,2.344117533,1.933193026,1.609674302,1.113653811,1.80208435,2.161533303,2.779679913,2.514749462,3.813003996,1.697703366,5.075108318,3.568678432,3.547853564,5.155804682,5.773181357,6.259302703,13.21528523,6.842289016,9.385855989,6.681922867,14.5903498,27.15929419,9.611116533,41.0537341,19.48448708,0.0,109.9904999,0.0
alhic2302,155_2,stick1,126.40879753202,126.4044868760022,0.016,0.015,0.052863733,4.6304,1.55,104.6045649,2.755484151,1.953741272,1.690991694,0.792085809,1.342616091,0.695309085,1.054809634,1.265205013,1.051307336,1.589708338,0.824070027,1.192455081,2.193674411,2.819941879,1.779991257,2.816645598,2.534401614,4.396490848,8.438477072,6.007470493,4.944420159,4.693336323,3.416053534,14.30737504,6.750781657,9.611952789,13.68576872,0.0,0.0,0.0
alhic2302,155_2,stick1,126.40899961029,126.40468895427219,0.016,0.015,0.048603667,4.196,1.52,108.9651149,2.996999802,2.907874069,2.129606439,1.230730573,1.460295156,1.512504573,1.606167819,1.376099068,1.470154445,1.152696541,0.672224255,1.81576174,2.385947954,1.022369063,1.161603512,1.750583996,4.410463335,3.415599447,10.09591201,3.920411853,7.170392049,12.76175733,0.0,5.187134433,7.342481459,0.0,0.0,0.0,28.00934394,0.0
alhic2302,155_2,stick1,126.4093002562,126.40498960018219,0.016,0.015,0.05830825,5.005,1.55,77.83361027,2.568234338,2.050991942,1.976886708,0.974598236,1.281315459,1.103173386,1.147580492,1.376480215,0.408489345,2.081834102,0.747122716,2.162219836,0.994420336,2.272560523,1.613785067,3.283254125,2.75730308,2.847121239,3.060214646,3.267914762,8.965472597,19.14793806,3.097080483,8.647618576,0.0,0.0,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.40960152404,126.40529086802219,0.016,0.015,0.030654133,2.6464,1.5,211.8355965,4.174560715,3.369270189,3.223116153,2.439231354,2.07164796,1.798613925,1.819042626,1.963686714,2.331003647,2.741487314,4.263381155,1.645132203,2.837280159,1.080678302,3.683561318,9.714735706,7.867137308,4.332483458,10.18663871,10.36001621,5.684508207,12.14064399,11.78212028,16.44892388,34.92561843,16.57602593,0.0,32.37505065,0.0,76.7408608
alhic2302,155_2,stick1,126.40989631861,126.40558566259219,0.016,0.015,0.054778877,4.8122,1.52,96.51554216,2.385778284,1.98466931,0.944768201,1.091990602,1.091095935,0.671000142,1.221518482,0.976777393,1.014552215,0.511376664,1.98814857,1.150765244,1.852358023,1.814235274,1.717760365,3.106482141,2.445795519,5.455007491,4.071728272,6.956929477,6.362075425,6.793876442,9.8898711,4.602389977,0.0,0.0,26.41459161,0.0,0.0,42.94400912
alhic2302,155_2,stick1,126.41019801342,126.4058873574022,0.016,0.015,0.053485457,4.6042,1.57,81.4877536,2.825265335,2.032663871,1.627352833,1.174317718,1.466694501,0.773130041,0.625529017,0.125049807,1.039086775,1.222067248,1.425359088,1.414312555,1.626131096,0.929054144,1.055580216,1.193101915,3.506917866,4.966154685,5.838270824,3.562583229,14.66083633,11.59695061,10.12903438,0.0,6.672309513,0.0,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.41049927489,126.40618861887219,0.016,0.015,0.034302517,3.0046,1.56,191.2926354,3.809931955,3.222210264,2.057363256,2.092605126,2.178011101,2.410972565,1.137899677,1.559849641,1.157266831,2.449905308,1.269977318,1.10261812,2.958094669,3.38008432,2.194520806,7.44127335,3.905775556,5.807526903,7.802740644,1.85162693,2.539954637,25.31521194,21.05797016,7.349715923,10.40365419,14.81301544,21.091188,28.93167078,0.0,68.57877519
alhic2302,155_2,stick1,126.41079588017,126.40648522415219,0.016,0.015,0.06338066,5.4404,1.65,72.50028053,2.190863826,1.629551627,1.484632428,1.321305678,1.001955057,0.507442725,0.703825744,1.055266076,0.876861028,0.736624264,1.030994742,1.193505288,0.686127001,0.784007064,1.484632428,2.68488214,2.113861407,3.143116345,5.63060595,5.010634445,4.123978967,5.871837241,0.0,7.955542051,11.2612119,8.017015113,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.41109273043,126.40678207441219,0.016,0.015,0.0499776,4.3776,1.64,127.8907694,2.669455276,2.864189315,2.63589641,1.615810383,1.270660712,1.562857107,0.892578679,1.605922503,1.906317939,1.68151167,2.179147164,2.270371713,2.320355901,2.651368355,0.75311326,2.553688083,4.825367284,2.65736101,4.462893393,6.354393131,8.716588658,4.964369634,25.29327942,5.04453501,14.28125886,0.0,0.0,19.85747854,0.0,47.06957875
alhic2302,155_2,stick1,126.41150066989,126.4071900138722,0.016,0.015,0.05491278,4.6934,1.61,60.68723584,1.884135497,1.154900686,1.499375196,0.816995859,0.612244872,0.585693436,0.609269921,1.096194991,1.301243474,0.340086457,1.983300524,1.377550961,1.319886498,0.603270437,2.399000313,3.098907068,3.903730421,6.046339559,3.249439578,3.469982596,6.346561675,4.518206505,3.288584972,9.182334347,0.0,0.0,0.0,0.0,0.0,42.83929131
alhic2302,155_2,stick1,126.41189605763,126.4075854016122,0.016,0.015,0.060685923,5.2694,1.61,78.12005414,2.243282695,1.731769375,1.201681674,0.837843654,0.800223803,0.681397119,0.367539437,0.771487352,1.177454221,1.538667601,1.435700925,1.038752052,1.910917931,0.545880411,0.930334199,1.752564606,2.207726664,4.924027949,4.410473241,5.233129871,7.178504625,6.132574068,14.87868464,8.308805043,5.880630988,0.0,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.41209599165,126.4077853356322,0.016,0.015,0.06201689,5.4006,1.58,93.48643962,2.129284639,2.07442812,1.78280393,0.819862391,1.084222957,0.96311715,1.258780395,0.539235847,1.920307425,1.053951993,0.878055521,2.23620985,0.701215139,0.267082538,1.820735928,4.115885255,3.456553364,3.747606818,4.315818497,3.072491879,1.404888834,6.000960702,5.823747146,4.065243403,0.0,0.0,0.0,16.00256187,21.95138803,0.0
alhic2302,155_2,stick1,126.41239648732,126.40808583130219,0.016,0.015,0.0595516,5.1784,1.55,115.6269293,2.628913982,2.16030435,1.817105345,1.104921117,1.630932514,0.848682014,0.842715522,1.123117773,0.666601145,1.097583018,0.731523891,1.481953102,1.217072873,0.278139099,1.580091604,1.428757599,2.699734639,5.575355053,5.992643713,9.599056494,5.852191126,12.49877148,9.097253965,8.467068993,5.992643713,17.06498932,12.14880587,0.0,0.0,0.0
alhic2302,155_2,stick1,126.4126982508,126.4083875947822,0.016,0.015,0.05942664,5.0792,1.52,98.58200934,2.680258341,2.103865349,1.622999512,0.956256615,1.068621291,0.618521156,0.28149585,0.900383537,0.935203987,1.257018254,0.366531055,2.545833077,1.463558503,0.836171878,3.483511148,3.579404836,2.705411535,3.352247214,5.254589207,1.068804557,7.330621104,0.0,21.27156106,0.0,0.0,8.550436455,24.34870381,0.0,0.0,39.58535396
