Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,"CPP (≥4.5 µm, ≤10 µm)",x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb),ABK1 (ppb)
25.13083333,0.02792982,1.9692,1.57,92.94261736,54.61526117,2.924523287,1.232637823,0.673810165,0.856690355,0.534992793,1.316035479,1.197884738,0.718409145,0.568527327,1.002965261,1.169809315,1.354200508,2.076021597,0.593044581,2.695240661,2.284783818,0,2.377539948,6.388718605,9.096437232,3.119491506,13.32485923,6.465682309,0,12.77743721,18.19287446,0,0,0,0
25.16495612,0.03087364,2.1742,1.57,159.2746961,69.5600151,1.763778831,1.349864034,0.609561964,0.581253314,0.967961822,1.33936955,0.903054761,0.86654454,1.542953721,1.512219875,2.469290363,2.450153363,0.93903585,4.291979407,0,3.444880529,2.603734405,5.377100238,2.889775236,4.114543257,8.466138388,12.05432595,0,8.165987325,11.55910095,0,46.86721928,32.14486919,0,0
25.19390896,0.021403773,1.2868,1.56,126.5801116,51.47283534,3.052972304,1.354502046,0.879256024,1.257633779,1.22169775,1.502634806,1.302601517,1.56242218,2.22561681,0,1.017657435,1.178065688,2.031753069,1.547729751,0.879256024,2.981418266,5.007637822,1.551227949,14.58913698,0,16.28251896,11.59175422,8.437079774,11.77893958,33.34659882,0,0,0,0,0
25.22245955,0.020484853,1.4494,1.56,101.4215764,34.56103645,2.924097085,1.238355116,1.492884476,1.168043872,1.094143964,1.794332302,0.544413712,1.632510111,0.775151555,1.367480585,3.189924093,0,1.415262989,1.617158602,0.918698139,3.115160247,3.924204745,8.104068616,19.59889363,6.201212437,4.253232124,0,17.6311092,0,17.42123878,0,0,0,0,0
25.25710424,0.027845493,1.9702,1.54,61.9051194,24.86935535,2.591152199,1.75694786,0.760332057,0.644463553,0.80491943,0.330005233,0,2.161754279,1.995871648,0,2.346703878,2.263835897,1.041154287,0.594840543,3.379253585,3.055604008,3.849181036,2.384740037,8.010082571,2.28099617,6.257877008,8.910141287,6.485262836,0,0,0,0,0,0,84.48133961
25.27847887,0.03045,2.61,1.54,68.0536237,60.82610358,1.341238243,0.47605016,0.695297905,0.589340084,0.490714365,1.056225116,0.366247456,0.439300232,0.521473429,0.613303541,1.072990594,0.414040246,0.47605016,1.087923047,0.618042582,1.39712317,2.639959234,1.090381984,2.92997965,8.343574862,0,8.148022326,0,16.55919559,0,16.68714972,0,0,0,0
25.30729069,0.022667103,1.9682,1.56,53.69223984,39.86897033,2.282230697,1.199071996,0.311344314,0.923642786,0.824005399,0.405396242,0.984001782,0.295068406,0.700524706,0.411942641,1.441408861,1.112407288,0.639505065,0.730734234,0.830251504,2.815251682,2.364270884,1.464771696,5.904010695,2.802098826,3.843756963,5.472849269,15.9336939,0,0,0,0,0,0,0
25.36098043,0.01581657,1.3694,1.56,116.7515922,56.41064014,2.840361402,0.916489946,1.338584865,0.945496061,1.653262479,0.580983014,1.410196401,1.268608688,2.007877297,1.180729628,1.377144922,1.594217391,0.916489946,1.047232642,0,4.034604265,1.694146469,8.396796878,5.640785602,12.04726378,0,0,11.41747819,31.87969995,22.56314241,0,0,0,0,0
25.38374002,0.02628564,2.2824,1.56,146.5847019,67.44001911,1.812681319,0.68933681,0.536967998,0.56892298,0.852685292,0.34958854,1.272813031,0.254448666,0.604088997,1.776168738,1.242981476,0,1.102938896,2.520559269,1.43191466,3.236930926,2.038800366,5.052512535,3.394168083,2.416355989,16.57308634,14.15833587,0,0,13.57667233,19.33084791,0,0,51.79089482,0
25.40648344,0.0312662,2.7188,1.53,78.99824786,48.93592629,1.915797248,0.753387268,0.827624411,0.860933159,1.194760829,0.293900714,0.535029922,0,1.523581303,0.298646667,1.044980317,1.61292712,1.390868802,1.58928444,0,3.401628637,1.714028965,3.18575312,8.560478759,4.062883474,5.573228359,3.967659642,11.55147367,0,0,0,23.13939103,0,0,0
