ID,dD,d18O,dxs
alhic2302-155_2-r-46,-289.9,-36.42,1.49
alhic2302-158-l-53,-293.48,-36.8,0.93
alhic2302-155_2-stick2-1,-290.31,-36.31,0.19
alhic2302-155_2-stick2-2,-299.96,-37.58,0.67
alhic2302-155_2-stick2-3,-301.42,-37.7,0.22
alhic2302-155_2-stick2-4,-302.91,-37.92,0.46
alhic2302-155_2-stick2-5,-302.74,-37.91,0.52
alhic2302-155_2-stick2-6,-302.54,-37.89,0.58
alhic2302-155_2-stick2-7,-299.77,-37.55,0.66
alhic2302-155_2-stick2-8,-296.83,-37.22,0.9
alhic2302-155_2-stick2-9,-293.73,-36.81,0.77
alhic2302-155_2-stick2-10,-291.55,-36.56,0.91
alhic2302-155_2-stick2-11,-291.21,-36.49,0.72
alhic2302-155_2-stick2-12,-291.01,-36.46,0.65
alhic2302-155_2-stick2-13,-290.2,-36.35,0.58
alhic2302-155_2-stick2-14,-289.71,-36.33,0.94
alhic2302-155_2-stick2-15,-289.79,-36.36,1.09
alhic2302-155_2-stick2-16,-289.93,-36.38,1.14
